name,shortName,leagueName,isActive
A. C. Garda,,Serie B,true
A.S. Livorno Calcio,,Serie C,true
ACF Fiorentina,,Serie A,true
ACR Messina,,Serie C,true
Akragas Città dei Templi,,Serie B,true
Alessandria,,Serie B,true
Associazione Calcio Milan,,Serie C,true
Avellino Monkeys,,Serie A,true
Bari,,Serie A,true
Benevento,,Serie C,true
Bologna Umarells,,Serie A,true
Brescia,,Serie B,true
Cagliari Calcio,,Serie B,true
Carpi,,Serie B,true
Catania,,Serie B,true
Catanzaro Juniors,,Serie B,true
Cervia 1920,,Serie C,true
Cesena Football Club,,Serie B,true
Chievo,,Serie A,true
Città di Campobasso,,Serie B,true
Como 1907,,Serie C,true
Cremonese,,Serie A,true
Empoli Football Club,,Serie A,true
FC Inter Milan,,Serie A,true
Forst Südtirol,,Serie A,true
Frosinone,,Serie C,true
Genoa CFC,,Serie B,true
Juventus FC,,Serie B,true
Mambo,,Serie A,true
Mantova,,Serie A,true
Modena,,Serie C,true
Monza,,Serie A,true
Napoli,,Serie A,true
Novara Goats,,Serie B,true
Padova,,Serie C,true
Palermo F.C.,,Serie A,true
Parma Calcio 1913,,Serie B,true
Pescara Dolphins,,Serie B,true
Piacenza,,Serie C,true
Pisa,,Serie C,true
Progetto Gaming,,Serie A,true
RavennaZ,,Serie A,true
Reggina,,Serie B,true
Roma SMR,,Serie B,true
S.S. Lazio,,Serie A,true
S.S. Longobarda,,Serie C,true
Taranto Football Club 1927,,Serie C,true
Torino,,Serie A,true
U.C. Sampdoria,,Serie B,true
U.S. Sassuolo,,Serie B,true
Udinese Calcio,,Serie B,true
Union Entella,,Serie A,true
Villaggio Prenestino,,Serie A,true
